date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:30	140/140	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Sep%202021%2018:19:30%20GMT	https://www.sun-immobilier.fr/robots.txt		(from )
19:19:31	117355/117355	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Sep%202021%2018:19:31%20GMT	https://www.sun-immobilier.fr/a-louer/	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/a-louer/index.html	(from )
19:19:31	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Sep%202021%2018:19:32%20GMT	https://www.sun-immobilier.fr/a-louer/images/favicon.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/a-louer/images/favicon.0.delayed	(from https://www.sun-immobilier.fr/a-louer/)
19:19:32	116913/116913	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Sep%202021%2018:19:33%20GMT	https://www.sun-immobilier.fr/a-louer/2	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/a-louer/2.html	(from https://www.sun-immobilier.fr/a-louer/)
19:19:33	31286/31286	---M-Z	200	added ('OK')	text/css	etag:%225eb03ec4-7a36%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/themes/smoothness/jquery-ui.min.css	C:/Mes%20Sites%20Web/mathis2/cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/themes/smoothness/jquery-ui.min.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:34	127343/127343	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:03%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	C:/Mes%20Sites%20Web/mathis2/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:34	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Mes%20Sites%20Web/mathis2/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:35	72259/72259	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-11a43%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.css	C:/Mes%20Sites%20Web/mathis2/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:35	6655/6655	---M-Z	200	added ('OK')	text/css	etag:%225eb03d8e-19ff%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.12.4/css/bootstrap-select.min.css	C:/Mes%20Sites%20Web/mathis2/cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.12.4/css/bootstrap-select.min.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:35	24860/24860	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed1-611c%22	https://cdnjs.cloudflare.com/ajax/libs/lightgallery/1.6.8/css/lightgallery.css	C:/Mes%20Sites%20Web/mathis2/cdnjs.cloudflare.com/ajax/libs/lightgallery/1.6.8/css/lightgallery.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:36	8120/8120	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed1-1fb8%22	https://cdnjs.cloudflare.com/ajax/libs/lightslider/1.1.6/css/lightslider.css	C:/Mes%20Sites%20Web/mathis2/cdnjs.cloudflare.com/ajax/libs/lightslider/1.1.6/css/lightslider.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:36	33843/33843	---M-Z	200	added ('OK')	text/css	etag:%228433-5cb9f5080bb67-gzip%22	https://www.sun-immobilier.fr/css/fonts/style.css	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/css/fonts/style.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:37	207948/207948	---M-Z	200	added ('OK')	text/css	etag:%2232c4c-5cb9f507f5529-gzip%22	https://www.sun-immobilier.fr/css/expre.css	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/css/expre.css	(from https://www.sun-immobilier.fr/a-louer/)
19:19:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2010%20Sep%202021%2018:19:38%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mes%20Sites%20Web/mathis2/www.googletagmanager.com/gtm.b5445.delayed	(from https://www.sun-immobilier.fr/a-louer/)
19:19:38	21339/21339	---M--	200	added ('OK')	image/png	etag:%22535b-58d677e9cb8ab%22	https://www.sun-immobilier.fr/images/logoSite.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/logoSite.png	(from https://www.sun-immobilier.fr/a-louer/)
19:19:39	117363/117363	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Sep%202021%2018:19:39%20GMT	https://www.sun-immobilier.fr/a-louer/1	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/a-louer/1.html	(from https://www.sun-immobilier.fr/a-louer/)
19:19:40	114710/114710	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Sep%202021%2018:19:40%20GMT	https://www.sun-immobilier.fr/a-louer/3	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/a-louer/3.html	(from https://www.sun-immobilier.fr/a-louer/)
19:19:41	78369/78369	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Sep%202021%2018:19:41%20GMT	https://www.sun-immobilier.fr/a-louer/4	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/a-louer/4.html	(from https://www.sun-immobilier.fr/a-louer/)
19:19:42	26262/26262	---M--	200	added ('OK')	image/jpeg	etag:%2261369be3-6696%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/ff2a8cdc5edeb047c2f12c4e8b46623f/original/photo_a0fd6b275e6e51c13a41bee3ae3ef535.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/ff2a8cdc5edeb047c2f12c4e8b46623f/original/photo_a0fd6b275e6e51c13a41bee3ae3ef535.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:42	3074/3074	---M--	200	added ('OK')	image/png	etag:%22c02-58d677e944a22%22	https://www.sun-immobilier.fr/images/detail/detail-pieces2.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/detail/detail-pieces2.png	(from https://www.sun-immobilier.fr/a-louer/)
